Payment Date,Brand,Product Line,Total Revenue,Average Receipt
2016-01-04,HUB,Hub Shared,12441.8,118.493333
2016-01-04,HUB,Domain Registration,5125.13,51.76899
2016-01-04,HUB,Your Web Layout,593.93,98.988333
2016-01-04,IMH,Other,16967.62,65.010038
2016-01-04,IMH,Business Class,45636.97,112.130147
2016-01-04,IMH,Reseller,6190.92,92.401791
2016-01-04,IMH,VPS,22335.7,141.36519
2016-01-04,IMH,Dedicated,17294.23,467.411622
2016-01-04,IMH,Domain Registration,17872.96,50.064314
2016-01-04,IMH,Your Web Layout,3756.46,129.533103
2016-01-04,IMH,Managed Hosting,504,50.4
2016-01-05,HUB,Other,9037.71,134.891194
2016-01-05,HUB,Hub Shared,12467.74,117.620189
2016-01-05,HUB,Domain Registration,5583.14,52.178879
2016-01-05,HUB,Your Web Layout,489.95,122.4875
2016-01-05,IMH,Other,21657.21,79.040912
2016-01-05,IMH,Business Class,37984.28,111.718471
2016-01-05,IMH,Reseller,2847.19,51.767091
2016-01-05,IMH,VPS,29310.46,182.052547
2016-01-05,IMH,Dedicated,19985.05,540.136486
2016-01-05,IMH,Domain Registration,14875.24,35.417238
2016-01-05,IMH,Your Web Layout,8327.7,277.59
2016-01-05,IMH,Managed Hosting,854.99,77.726364
2016-01-05,IMH,WordPress,39.99,39.99
2016-01-06,HUB,Other,7756.04,141.018909
2016-01-06,HUB,Hub Shared,12683.17,117.436759
2016-01-06,HUB,Domain Registration,5535.85,63.63046
2016-01-06,HUB,Your Web Layout,960.63,192.126
2016-01-06,IMH,Other,20889.3,74.075532
2016-01-06,IMH,Business Class,40558.38,117.220751
2016-01-06,IMH,Reseller,4996.81,76.874
2016-01-06,IMH,VPS,25023.92,162.492987
2016-01-06,IMH,Dedicated,27411.36,548.2272
2016-01-06,IMH,Domain Registration,15506.88,38.96201
2016-01-06,IMH,Your Web Layout,2367.34,102.927826
2016-01-06,IMH,Managed Hosting,816.98,51.06125
2016-01-07,HUB,Other,7989.05,98.630247
2016-01-07,HUB,Hub Shared,13399.54,111.662833
2016-01-07,HUB,Domain Registration,5608.56,51.931111
2016-01-07,HUB,Your Web Layout,471.89,94.378
2016-01-07,IMH,Other,19575.8,85.112174
2016-01-07,IMH,Business Class,41951.29,112.469946
2016-01-07,IMH,Reseller,4568.17,70.279538
2016-01-07,IMH,VPS,30699.24,196.79
2016-01-07,IMH,Dedicated,18432.37,498.172162
2016-01-07,IMH,Domain Registration,17240.53,44.549173
2016-01-07,IMH,Your Web Layout,2869.33,114.7732
2016-01-07,IMH,Managed Hosting,553,46.083333
2016-01-08,HUB,Other,8031.97,121.696515
2016-01-08,HUB,Hub Shared,11192.89,115.390619
2016-01-08,HUB,Domain Registration,4855.26,57.800714
2016-01-08,HUB,Your Web Layout,1989.91,663.303333
2016-01-08,IMH,Other,16011.32,68.133277
2016-01-08,IMH,Business Class,41339.78,114.514626
2016-01-08,IMH,Reseller,3183.78,54.892759
2016-01-08,IMH,VPS,25009.24,168.981351
2016-01-08,IMH,Dedicated,22233.7,555.8425
2016-01-08,IMH,Domain Registration,30039.86,80.752312
2016-01-08,IMH,Your Web Layout,3749.09,144.195769
2016-01-08,IMH,Managed Hosting,367,36.7
2016-01-09,HUB,Other,7585.39,128.565932
2016-01-09,HUB,Hub Shared,9212.38,118.107436
2016-01-09,HUB,Domain Registration,7123.31,81.877126
2016-01-09,HUB,Your Web Layout,189.95,63.316667
2016-01-09,IMH,Other,18922.37,89.256462
2016-01-09,IMH,Business Class,33478.93,116.651324
2016-01-09,IMH,Reseller,2737.89,52.651731
2016-01-09,IMH,VPS,15743.77,122.044729
2016-01-09,IMH,Dedicated,12510.31,357.437429
2016-01-09,IMH,Domain Registration,14398.15,45.708413
2016-01-09,IMH,Your Web Layout,2527.01,168.467333
2016-01-09,IMH,Managed Hosting,478,68.285714
2016-01-10,HUB,Other,7335.27,122.2545
2016-01-10,HUB,Hub Shared,11789.95,124.104737
2016-01-10,HUB,Domain Registration,5447.67,65.634578
2016-01-10,HUB,Your Web Layout,449.83,89.966
2016-01-10,IMH,Other,13138.86,64.723448
2016-01-10,IMH,Business Class,34679.58,112.962801
2016-01-10,IMH,Reseller,1864.44,47.806154
2016-01-10,IMH,VPS,17577.16,137.321563
2016-01-10,IMH,Dedicated,10414.85,281.482432
2016-01-10,IMH,Domain Registration,12051.21,38.136741
2016-01-10,IMH,Your Web Layout,3931.55,170.936957
2016-01-10,IMH,Managed Hosting,318,35.333333
2016-01-11,HUB,Other,8428.46,86.89134
2016-01-11,HUB,Hub Shared,14668.3,118.292742
2016-01-11,HUB,Domain Registration,5192.94,47.208545
2016-01-11,HUB,Your Web Layout,834.34,104.2925
2016-01-11,IMH,Other,15092.97,60.614337
2016-01-11,IMH,Business Class,45063.78,112.941805
2016-01-11,IMH,Reseller,3572.41,60.549322
2016-01-11,IMH,VPS,18975,126.5
2016-01-11,IMH,Dedicated,12841.77,414.250645
2016-01-11,IMH,Domain Registration,11927.33,35.080382
2016-01-11,IMH,Your Web Layout,4689.3,137.920588
2016-01-11,IMH,Managed Hosting,859.5,45.236842
2016-01-12,HUB,Other,6693.55,91.692466
2016-01-12,HUB,Hub Shared,11675.82,109.119813
2016-01-12,HUB,Domain Registration,5065.21,46.047364
2016-01-12,HUB,Your Web Layout,367.45,183.725
2016-01-12,IMH,Other,18494.78,73.101897
2016-01-12,IMH,Business Class,44023.99,119.956376
2016-01-12,IMH,Reseller,2409.71,42.275614
2016-01-12,IMH,VPS,20917.69,138.527748
2016-01-12,IMH,Dedicated,14560.54,560.020769
2016-01-12,IMH,Domain Registration,22549.3,61.109214
2016-01-12,IMH,Your Web Layout,1422.3,88.89375
2016-01-12,IMH,Managed Hosting,430,35.833333
2016-01-13,HUB,Other,8937.97,125.886901
2016-01-13,HUB,Hub Shared,13989.02,118.551017
2016-01-13,HUB,Domain Registration,5265.62,56.61957
2016-01-13,HUB,Your Web Layout,351.95,117.316667
2016-01-13,IMH,Other,19368.18,75.953647
2016-01-13,IMH,Business Class,41070.95,116.3483
2016-01-13,IMH,Reseller,2947.41,46.053281
2016-01-13,IMH,VPS,22596.45,171.185227
2016-01-13,IMH,Dedicated,17639.11,476.732703
2016-01-13,IMH,Domain Registration,14739.13,36.214079
2016-01-13,IMH,Your Web Layout,2946.54,196.436
2016-01-13,IMH,Managed Hosting,783.99,52.266
2016-01-14,HUB,Other,7798.43,132.17678
2016-01-14,HUB,Hub Shared,11144.6,116.089583
2016-01-14,HUB,Domain Registration,6009.41,61.95268
2016-01-14,IMH,Other,17826.05,70.181299
2016-01-14,IMH,Business Class,40628.69,115.751254
2016-01-14,IMH,Reseller,4393.58,65.575821
2016-01-14,IMH,VPS,23970.1,146.159146
2016-01-14,IMH,Dedicated,24673.36,685.371111
2016-01-14,IMH,Domain Registration,17599.99,46.933307
2016-01-14,IMH,Your Web Layout,6170.07,171.390833
2016-01-14,IMH,Managed Hosting,655.5,43.7
2016-01-15,HUB,Other,8455,132.109375
2016-01-15,HUB,Hub Shared,12009.29,118.903861
2016-01-15,HUB,Domain Registration,4663.97,46.6397
2016-01-15,HUB,Your Web Layout,269.9,89.966667
2016-01-15,IMH,Other,19083.72,92.191884
2016-01-15,IMH,Business Class,37359.59,117.853596
2016-01-15,IMH,Reseller,2847.02,49.086552
2016-01-15,IMH,VPS,26392.9,183.284028
2016-01-15,IMH,Dedicated,5322.47,231.411739
2016-01-15,IMH,Domain Registration,13471.35,38.162465
2016-01-15,IMH,Your Web Layout,4710.55,138.545588
2016-01-15,IMH,Managed Hosting,633.5,63.35
2016-01-15,IMH,WordPress,101.94,101.94
2016-01-16,HUB,Other,8123.82,106.892368
2016-01-16,HUB,Hub Shared,11437.98,115.535152
2016-01-16,HUB,Domain Registration,5628.81,64.698966
2016-01-16,HUB,Your Web Layout,179.95,89.975
2016-01-16,IMH,Other,14236.04,67.790667
2016-01-16,IMH,Business Class,31413.27,117.652697
2016-01-16,IMH,Reseller,2010.46,37.230741
2016-01-16,IMH,VPS,14524.64,120.038347
2016-01-16,IMH,Dedicated,11984.26,443.861481
2016-01-16,IMH,Domain Registration,13289.03,41.015525
2016-01-16,IMH,Your Web Layout,1940.64,69.308571
2016-01-16,IMH,Managed Hosting,348,49.714286
2016-01-17,HUB,Other,6938.38,86.72975
2016-01-17,HUB,Hub Shared,13510.56,121.716757
2016-01-17,HUB,Domain Registration,4081.16,42.073814
2016-01-17,HUB,Your Web Layout,332.45,110.816667
2016-01-17,IMH,Other,14642.82,66.862192
2016-01-17,IMH,Business Class,35211.77,117.372567
2016-01-17,IMH,Reseller,2212.36,43.379608
2016-01-17,IMH,VPS,20343.99,132.967255
2016-01-17,IMH,Dedicated,8172.8,263.63871
2016-01-17,IMH,Domain Registration,12619.06,40.575756
2016-01-17,IMH,Your Web Layout,3829.75,166.51087
2016-01-17,IMH,Managed Hosting,350,58.333333
2016-01-18,HUB,Other,4511.67,85.125849
2016-01-18,HUB,Hub Shared,10834.96,116.504946
2016-01-18,HUB,Domain Registration,3306.09,44.0812
2016-01-18,HUB,Your Web Layout,433.32,144.44
2016-01-18,IMH,Other,11023.75,53.77439
2016-01-18,IMH,Business Class,45129.02,113.105313
2016-01-18,IMH,Reseller,4301.1,63.251471
2016-01-18,IMH,VPS,23911.2,162.661224
2016-01-18,IMH,Dedicated,12741.09,386.093636
2016-01-18,IMH,Domain Registration,11050.88,30.443196
2016-01-18,IMH,Your Web Layout,2849.54,158.307778
2016-01-18,IMH,Managed Hosting,270,45
2016-01-18,IMH,WordPress,107.88,107.88
2016-01-19,HUB,Other,4871.86,90.21963
2016-01-19,HUB,Hub Shared,11203.65,117.933158
2016-01-19,HUB,Domain Registration,3630.31,46.542436
2016-01-19,HUB,Your Web Layout,209.85,69.95
2016-01-19,IMH,Other,15926.02,58.33707
2016-01-19,IMH,Business Class,42838.22,117.687418
2016-01-19,IMH,Reseller,4576.13,64.452535
2016-01-19,IMH,VPS,26732.18,163.001098
2016-01-19,IMH,Dedicated,9455.18,350.191852
2016-01-19,IMH,Domain Registration,13390.45,34.334487
2016-01-19,IMH,Your Web Layout,4232.34,162.782308
2016-01-19,IMH,Managed Hosting,635.5,52.958333
2016-01-19,IMH,WordPress,107.82,107.82
2016-01-20,HUB,Other,4594.13,67.560735
2016-01-20,HUB,Hub Shared,13451.4,111.168595
2016-01-20,HUB,Domain Registration,3604.1,32.764545
2016-01-20,HUB,Your Web Layout,456.9,91.38
2016-01-20,IMH,Other,15004.82,59.074094
2016-01-20,IMH,Business Class,48977.46,117.734279
2016-01-20,IMH,Reseller,4695.16,67.073714
2016-01-20,IMH,VPS,26103.23,164.171258
2016-01-20,IMH,Dedicated,20644.04,557.947027
2016-01-20,IMH,Domain Registration,14183,35.4575
2016-01-20,IMH,Your Web Layout,2836.15,91.48871
2016-01-20,IMH,Managed Hosting,1972.98,151.767692
2016-01-21,HUB,Other,5808.69,77.4492
2016-01-21,HUB,Hub Shared,11310.45,117.817188
2016-01-21,HUB,Domain Registration,4437.5,44.823232
2016-01-21,HUB,Your Web Layout,209.94,104.97
2016-01-21,IMH,Other,19952.47,76.446245
2016-01-21,IMH,Business Class,45186.02,117.979164
2016-01-21,IMH,Reseller,6372.88,102.788387
2016-01-21,IMH,VPS,29118.28,211.002029
2016-01-21,IMH,Dedicated,12475.34,402.430323
2016-01-21,IMH,Domain Registration,13981.75,34.018856
2016-01-21,IMH,Your Web Layout,2110.19,150.727857
2016-01-21,IMH,Managed Hosting,831.49,63.960769
2016-01-22,HUB,Other,6095.95,105.102586
2016-01-22,HUB,Hub Shared,11287.99,118.820947
2016-01-22,HUB,Domain Registration,4147.45,46.082778
2016-01-22,HUB,Your Web Layout,219.94,109.97
2016-01-22,IMH,Other,18702.28,77.602822
2016-01-22,IMH,Business Class,42693.79,107.812601
2016-01-22,IMH,Reseller,2696.06,36.932329
2016-01-22,IMH,VPS,19924.75,126.909236
2016-01-22,IMH,Dedicated,22286.2,696.44375
2016-01-22,IMH,Domain Registration,16117.2,39.697537
2016-01-22,IMH,Your Web Layout,2509.7,147.629412
2016-01-22,IMH,Managed Hosting,482.5,48.25
2016-01-22,IMH,WordPress,107.82,107.82
2016-01-23,HUB,Other,3987.61,86.687174
2016-01-23,HUB,Hub Shared,10941.63,110.521515
2016-01-23,HUB,Domain Registration,3480.49,35.88134
2016-01-23,HUB,Your Web Layout,119.9,59.95
2016-01-23,IMH,Other,20367.89,88.172684
2016-01-23,IMH,Business Class,39389.75,116.193953
2016-01-23,IMH,Reseller,3944.21,70.432321
2016-01-23,IMH,VPS,16887.05,132.968898
2016-01-23,IMH,Dedicated,10976.36,343.01125
2016-01-23,IMH,Domain Registration,16247.04,43.095597
2016-01-23,IMH,Your Web Layout,3158.49,121.480385
2016-01-23,IMH,Managed Hosting,299,42.714286
2016-01-24,HUB,Other,4004.88,70.261053
2016-01-24,HUB,Hub Shared,9339.88,113.900976
2016-01-24,HUB,Domain Registration,3661.72,38.954468
2016-01-24,HUB,Your Web Layout,169.95,84.975
2016-01-24,IMH,Other,13188.39,61.627991
2016-01-24,IMH,Business Class,35745.52,114.202939
2016-01-24,IMH,Reseller,2190.68,38.432982
2016-01-24,IMH,VPS,15735.7,128.981148
2016-01-24,IMH,Dedicated,10075.89,387.534231
2016-01-24,IMH,Domain Registration,13163.03,38.264622
2016-01-24,IMH,Your Web Layout,1545.97,77.2985
2016-01-24,IMH,Managed Hosting,328,36.444444
2016-01-25,HUB,Other,5164.86,78.255455
2016-01-25,HUB,Hub Shared,11200.52,112.0052
2016-01-25,HUB,Domain Registration,4210.6,46.784444
2016-01-25,HUB,Your Web Layout,379.84,94.96
2016-01-25,IMH,Other,17199.82,67.715827
2016-01-25,IMH,Business Class,46879.83,115.467562
2016-01-25,IMH,Reseller,3396.79,53.917302
2016-01-25,IMH,VPS,18909.42,129.516575
2016-01-25,IMH,Dedicated,20458.31,475.774651
2016-01-25,IMH,Domain Registration,13078.92,33.364592
2016-01-25,IMH,Your Web Layout,3179.68,198.73
2016-01-25,IMH,Managed Hosting,599.44,54.494545
2016-01-26,HUB,Other,5752.06,85.851642
2016-01-26,HUB,Hub Shared,10599.42,113.972258
2016-01-26,HUB,Domain Registration,3778.74,37.7874
2016-01-26,IMH,Other,16339.94,62.129049
2016-01-26,IMH,Business Class,49004.75,118.083735
2016-01-26,IMH,Reseller,5705.56,83.905294
2016-01-26,IMH,VPS,24995.16,161.259097
2016-01-26,IMH,Dedicated,10849.16,387.47
2016-01-26,IMH,Domain Registration,14636.62,35.612214
2016-01-26,IMH,Your Web Layout,2873.8,136.847619
2016-01-26,IMH,Managed Hosting,3199.88,290.898182
2016-01-26,IMH,WordPress,122.87,122.87
2016-01-27,HUB,Other,6670.42,82.350864
2016-01-27,HUB,Hub Shared,10777.85,122.475568
2016-01-27,HUB,Domain Registration,5438.44,53.845941
2016-01-27,HUB,Your Web Layout,387.45,129.15
2016-01-27,IMH,Other,38907.33,149.643577
2016-01-27,IMH,Business Class,43797.07,113.758623
2016-01-27,IMH,Reseller,3149.89,51.637541
2016-01-27,IMH,VPS,22269.25,144.605519
2016-01-27,IMH,Dedicated,21827.38,507.613488
2016-01-27,IMH,Domain Registration,17237,44.084399
2016-01-27,IMH,Your Web Layout,3797.25,130.939655
2016-01-27,IMH,Managed Hosting,721.49,55.499231
2016-01-28,HUB,Other,4049.45,72.311607
2016-01-28,HUB,Hub Shared,10940.35,113.961979
2016-01-28,HUB,Domain Registration,3395.01,39.023103
2016-01-28,HUB,Your Web Layout,2484.8,621.2
2016-01-28,IMH,Other,20862.22,82.134724
2016-01-28,IMH,Business Class,42969.74,116.134432
2016-01-28,IMH,Reseller,4127.15,75.039091
2016-01-28,IMH,VPS,23655.05,198.781933
2016-01-28,IMH,Dedicated,10086.91,387.958077
2016-01-28,IMH,Domain Registration,16196.35,39.407178
2016-01-28,IMH,Your Web Layout,2614.97,145.276111
2016-01-28,IMH,Managed Hosting,558,39.857143
2016-01-29,HUB,Other,8027.07,118.045147
2016-01-29,HUB,Hub Shared,9162.74,118.996623
2016-01-29,HUB,Domain Registration,5454.21,56.228969
2016-01-29,HUB,Your Web Layout,500.66,125.165
2016-01-29,IMH,Other,17233.54,72.106862
2016-01-29,IMH,Business Class,41293.62,122.170473
2016-01-29,IMH,Reseller,4117.28,69.784407
2016-01-29,IMH,VPS,21937.92,221.595152
2016-01-29,IMH,Dedicated,13534.05,588.436957
2016-01-29,IMH,Domain Registration,14527.43,36.965471
2016-01-29,IMH,Your Web Layout,2266.2,161.871429
2016-01-29,IMH,Managed Hosting,566.49,80.927143
2016-01-29,IMH,WordPress,89.94,89.94
2016-01-30,HUB,Other,5758.98,104.708727
2016-01-30,HUB,Hub Shared,8655.35,110.966026
2016-01-30,HUB,Domain Registration,4002.01,59.731493
2016-01-30,IMH,Other,13125.6,70.949189
2016-01-30,IMH,Business Class,33315.72,118.561281
2016-01-30,IMH,Reseller,4104.15,69.561864
2016-01-30,IMH,VPS,15974.51,207.461169
2016-01-30,IMH,Dedicated,8984.56,691.12
2016-01-30,IMH,Domain Registration,11676.47,38.536205
2016-01-30,IMH,Your Web Layout,854.97,284.99
2016-01-30,IMH,Managed Hosting,369,52.714286
2016-01-31,HUB,Other,5963.75,90.359848
2016-01-31,HUB,Hub Shared,9727.08,117.193735
2016-01-31,HUB,Domain Registration,3408.66,39.635581
2016-01-31,IMH,Other,11084.38,56.842974
2016-01-31,IMH,Business Class,34610.87,117.324983
2016-01-31,IMH,Reseller,2523.39,57.349773
2016-01-31,IMH,VPS,10970.04,189.138621
2016-01-31,IMH,Dedicated,14545.84,661.174545
2016-01-31,IMH,Domain Registration,11307.71,34.686227
2016-01-31,IMH,Your Web Layout,835.93,139.321667
2016-01-31,IMH,Managed Hosting,199,24.875
2016-02-01,HUB,Other,6426.22,105.347869
2016-02-01,HUB,Hub Shared,11438.47,124.331196
2016-02-01,HUB,Domain Registration,5600.5,68.29878
2016-02-01,HUB,Your Web Layout,551.97,91.995
2016-02-01,IMH,Other,12630.34,46.264982
2016-02-01,IMH,Business Class,39425,110.744382
2016-02-01,IMH,Reseller,4644.45,57.338889
2016-02-01,IMH,VPS,25144.36,116.409074
2016-02-01,IMH,Dedicated,25014.05,367.853676
2016-02-01,IMH,Domain Registration,11680.5,30.338961
2016-02-01,IMH,Your Web Layout,4527.6,119.147368
2016-02-01,IMH,Managed Hosting,666.5,33.325
2016-02-02,HUB,Other,6874.58,114.576333
2016-02-02,HUB,Hub Shared,9547.85,109.745402
2016-02-02,HUB,Domain Registration,4012.94,41.370515
2016-02-02,HUB,Your Web Layout,442.88,63.268571
2016-02-02,IMH,Other,16184.96,62.490193
2016-02-02,IMH,Business Class,40478.29,110.295068
2016-02-02,IMH,Reseller,5218.88,59.987126
2016-02-02,IMH,VPS,24381.45,132.50788
2016-02-02,IMH,Dedicated,19992.79,370.236852
2016-02-02,IMH,Domain Registration,12285.19,29.818422
2016-02-02,IMH,Your Web Layout,4340.1,117.3
2016-02-02,IMH,Managed Hosting,904.49,60.299333
2016-02-03,HUB,Other,5734.28,94.00459
2016-02-03,HUB,Hub Shared,9536.39,120.713797
2016-02-03,HUB,Domain Registration,3606.23,46.834156
2016-02-03,HUB,Your Web Layout,576.88,115.376
2016-02-03,IMH,Other,16757.51,61.382821
2016-02-03,IMH,Business Class,45177.21,118.264948
2016-02-03,IMH,Reseller,4199.31,59.990143
2016-02-03,IMH,VPS,23778.09,148.613063
2016-02-03,IMH,Dedicated,20690.9,422.263265
2016-02-03,IMH,Domain Registration,15054.96,40.14656
2016-02-03,IMH,Your Web Layout,4363.15,189.702174
2016-02-03,IMH,Managed Hosting,577,44.384615
2016-02-04,HUB,Other,4980.14,93.964906
2016-02-04,HUB,Hub Shared,10787.96,114.765532
2016-02-04,HUB,Domain Registration,4008.39,50.739114
2016-02-04,HUB,Your Web Layout,1242.97,155.37125
2016-02-04,IMH,Other,16671.78,61.293309
2016-02-04,IMH,Business Class,42546.32,117.531271
2016-02-04,IMH,Reseller,5949.98,82.638611
2016-02-04,IMH,VPS,22608.7,160.34539
2016-02-04,IMH,Dedicated,17209.22,555.136129
2016-02-04,IMH,Domain Registration,13967.62,37.955489
2016-02-04,IMH,Your Web Layout,2697.55,122.615909
2016-02-04,IMH,Managed Hosting,550.48,50.043636
2016-02-05,HUB,Other,5626.52,95.364746
2016-02-05,HUB,Hub Shared,9181.72,117.714359
2016-02-05,HUB,Domain Registration,3402.62,41.495366
2016-02-05,HUB,Your Web Layout,309.95,103.316667
2016-02-05,IMH,Other,18796.67,68.103877
2016-02-05,IMH,Business Class,45349.05,120.609176
2016-02-05,IMH,Reseller,5502.63,74.359865
2016-02-05,IMH,VPS,17404.86,124.320429
2016-02-05,IMH,Dedicated,24044.55,534.323333
2016-02-05,IMH,Domain Registration,15145.66,39.136072
2016-02-05,IMH,Your Web Layout,3914.9,150.573077
2016-02-05,IMH,Managed Hosting,1201.49,75.093125
2016-02-05,IMH,WordPress,39.99,39.99
2016-02-06,HUB,Other,7358.3,116.798413
2016-02-06,HUB,Hub Shared,10313.92,114.599111
2016-02-06,HUB,Domain Registration,5036.07,52.459063
2016-02-06,HUB,Your Web Layout,230.66,115.33
2016-02-06,IMH,Other,25161.6,103.973554
2016-02-06,IMH,Business Class,34354.95,118.465345
2016-02-06,IMH,Reseller,3133.32,66.666383
2016-02-06,IMH,VPS,20597.57,143.038681
2016-02-06,IMH,Dedicated,18968.25,412.353261
2016-02-06,IMH,Domain Registration,17199.34,51.961752
2016-02-06,IMH,Your Web Layout,2003.56,111.308889
2016-02-06,IMH,Managed Hosting,669.99,74.443333
2016-02-07,HUB,Other,3891.73,94.920244
2016-02-07,HUB,Hub Shared,8458.92,115.875616
2016-02-07,HUB,Domain Registration,2686.35,43.328226
2016-02-07,HUB,Your Web Layout,421.94,105.485
2016-02-07,IMH,Other,14955.97,67.981682
2016-02-07,IMH,Business Class,35156.16,110.902713
2016-02-07,IMH,Reseller,3249.47,60.17537
2016-02-07,IMH,VPS,18829.51,134.4965
2016-02-07,IMH,Dedicated,9408.5,336.017857
2016-02-07,IMH,Domain Registration,24587.91,77.320472
2016-02-07,IMH,Your Web Layout,2451.87,102.16125
2016-02-07,IMH,Managed Hosting,329,47
2016-02-08,HUB,Other,5256.5,74.035211
2016-02-08,HUB,Hub Shared,10522.56,109.61
2016-02-08,HUB,Domain Registration,3844.15,39.22602
2016-02-08,HUB,Your Web Layout,2159.86,539.965
2016-02-08,IMH,Other,13688.81,52.447548
2016-02-08,IMH,Business Class,47093.87,112.93494
2016-02-08,IMH,Reseller,2536.34,45.291786
2016-02-08,IMH,VPS,21359.29,166.869453
2016-02-08,IMH,Dedicated,19491.66,464.087143
2016-02-08,IMH,Domain Registration,12838.68,30.208659
2016-02-08,IMH,Your Web Layout,4558.84,175.34
2016-02-08,IMH,Managed Hosting,409,31.461538
2016-02-08,IMH,WordPress,239.7,119.85
2016-02-09,HUB,Other,3563.38,67.233585
2016-02-09,HUB,Hub Shared,8339.24,111.189867
2016-02-09,HUB,Domain Registration,2889.13,37.521169
2016-02-09,HUB,Your Web Layout,139.95,69.975
2016-02-09,IMH,Other,16321.22,59.784689
2016-02-09,IMH,Business Class,43024.11,113.520079
2016-02-09,IMH,Reseller,4591.13,65.587571
2016-02-09,IMH,VPS,22345.39,145.099935
2016-02-09,IMH,Dedicated,10764.89,336.402813
2016-02-09,IMH,Domain Registration,15518.58,36.173846
2016-02-09,IMH,Your Web Layout,5944.16,283.055238
2016-02-09,IMH,Managed Hosting,1076.88,107.688
2016-02-10,HUB,Other,6222.67,113.139455
2016-02-10,HUB,Hub Shared,10041.01,122.451341
2016-02-10,HUB,Domain Registration,5888.78,71.81439
2016-02-10,HUB,Your Web Layout,339.79,67.958
2016-02-10,IMH,Other,29971.03,117.996181
2016-02-10,IMH,Business Class,42837.24,109.558159
2016-02-10,IMH,Reseller,3584.05,64.000893
2016-02-10,IMH,VPS,28887.52,167.950698
2016-02-10,IMH,Dedicated,20782.17,472.322045
2016-02-10,IMH,Domain Registration,13550.46,35.014109
2016-02-10,IMH,Your Web Layout,4369.22,218.461
2016-02-10,IMH,Managed Hosting,428,26.75
2016-02-11,HUB,Other,5332.86,96.961091
2016-02-11,HUB,Hub Shared,8205.42,120.667941
2016-02-11,HUB,Domain Registration,4932.35,44.435586
2016-02-11,HUB,Your Web Layout,1073.1,153.3
2016-02-11,IMH,Other,36665.2,126.431724
2016-02-11,IMH,Business Class,42920.42,115.688464
2016-02-11,IMH,Reseller,5816.19,90.877969
2016-02-11,IMH,VPS,20978.12,126.374217
2016-02-11,IMH,Dedicated,25202.44,600.058095
2016-02-11,IMH,Domain Registration,28620.23,71.372145
2016-02-11,IMH,Your Web Layout,4909.54,163.651333
2016-02-11,IMH,Managed Hosting,749,39.421053
2016-02-12,HUB,Other,5047.3,85.547458
2016-02-12,HUB,Hub Shared,10368.5,119.178161
2016-02-12,HUB,Domain Registration,3364,36.172043
2016-02-12,HUB,Your Web Layout,417.4,139.133333
2016-02-12,IMH,Other,18567.9,66.791007
2016-02-12,IMH,Business Class,44514.28,118.389043
2016-02-12,IMH,Reseller,4675.96,80.62
2016-02-12,IMH,VPS,21350.05,141.39106
2016-02-12,IMH,Dedicated,9596.94,399.8725
2016-02-12,IMH,Domain Registration,15996.81,39.112005
2016-02-12,IMH,Your Web Layout,1927.25,91.77381
2016-02-12,IMH,Managed Hosting,445,40.454545
2016-02-13,HUB,Other,7546.03,103.370274
2016-02-13,HUB,Hub Shared,9769.08,116.298571
2016-02-13,HUB,Domain Registration,4184.98,49.82119
2016-02-13,HUB,Your Web Layout,132,132
2016-02-13,IMH,Other,14571.16,59.717869
